Art;Typ;Anlagennr;SAP-Nr.;Einbauort;Einbau Ur-Weiche;Erneuerung;Stammgleis;Zweiggleis;LETZTE_INSTANDHALTUNG;GW201_ID1
Weiche;Einfache Weiche (EW);4056;S-IS-00050-B0049-W4056;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.049: Wagenhalle Gleis 18, W4055-W4056;;357
Weiche;Einfache Weiche (EW);4057;S-IS-00050-B0048-W4057;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.047: Wagenhalle Gleis 16, W4053-W4061;050.048: Wagenhalle Gleis 17, W4054-W4057;;358
Weiche;Innenbogenweiche (IBW);4058;S-IS-00050-B0046-W4058;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.045: Wagenhalle Gleis 14, W4050-W4060;050.046: Wagenhalle Gleis 15, W4052-W4058;;359
Weiche;Innenbogenweiche (IBW);4059;S-IS-00050-B0044-W4059;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.043: Wagenhalle Gleis 12, W4048-W4063;050.044: Wagenhalle Gleis 13, W4051,W4059;;360
Weiche;Innenbogenweiche (IBW);4060;S-IS-00050-B0045-W4060;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.043: Wagenhalle Gleis 12, W4048-W4063;050.045: Wagenhalle Gleis 14, W4050-W4060;;361
Weiche;Innenbogenweiche (IBW);4061;S-IS-00050-B0047-W4061;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.047: Wagenhalle Gleis 16, W4053-W4061;;362
Weiche;Innenbogenweiche (IBW);4062;S-IS-00050-B0041-W4062;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.041: Wagenhalle Gleis 10, W4047-W4062;;363
Weiche;Innenbogenweiche (IBW);4063;S-IS-00050-B0043-W4063;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.041: Wagenhalle Gleis 10, W4047-W4062;050.043: Wagenhalle Gleis 12, W4048-W4063;;536
Weiche;Innenbogenweiche (IBW);4064;S-IS-00050-B0042-W4064;BP2 - Betriebshof Möhringen / Süd;02.03.1994;23.06.2018;050.041: Wagenhalle Gleis 10, W4047-W4062;050.042: Wagenhalle Gleis 11, W4049-W4064  ;;535
Weiche;Innenbogenweiche (IBW);4065;S-IS-00050-B0033-W4065;BP2 - Betriebshof Möhringen / Südumfahrung;01.03.1994;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.033: Innere Umfahrung, W4065-W4081;;366
Weiche;Innenbogenweiche (IBW);4066;S-IS-00050-B0034-W4066;BP2 - Betriebshof Möhringen / Südumfahrung;01.03.1994;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.034: Mittleres Gleis Südliche Schleife W4066-W4068;;367
Weiche;Einfache Weiche (EW);4067;S-IS-00050-B0035-W4067;BP2 - Betriebshof Möhringen / Südumfahrung;01.04.1995;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.035: GW W4067-W4069;;368
Weiche;Einfache Weiche (EW);4068;S-IS-00050-B0034-W4068;BP2 - Betriebshof Möhringen / Südumfahrung;01.04.1995;23.06.2018;050.035: GW W4067-W4069;050.034: Mittleres Gleis Südliche Schleife W4066-W4068;;540
Weiche;Einfache Weiche (EW);4069;S-IS-00050-B0035-W4069;BP2 - Betriebshof Möhringen / Südumfahrung;01.04.1995;23.06.2018;050.033: Innere Umfahrung, W4065-W4081;050.035: GW W4067-W4069;;370
Weiche;Einfache Weiche (EW);4070;S-IS-00050-B0036-W4070;BP2 - Betriebshof Möhringen / Südzufahrt Werkstatt;01.04.1994;23.06.2018;050.033: Innere Umfahrung, W4065-W4081;050.036: Verbindungsgleis W4070-W4083;;541
Weiche;Einfache Weiche (EW);4071;S-IS-00050-B0037-W4071;BP2 - Betriebshof Möhringen / Südzufahrt Werkstatt;01.04.1994;23.06.2018;050.036: Verbindungsgleis W4070-W4083;050.037: Wasch- und Wartungshalle Gleis 4, W4110-W4071;;372
Weiche;Außenbogenweiche (ABW);4072;S-IS-00050-B0040-W4072;BP2 - Betriebshof Möhringen / Südzufahrt Werkstatt;01.04.1994;23.06.2018;050.037: Wasch- und Wartungshalle Gleis 4, W4110-W4071;050.040: Wasch- und Wartungshalle Gleis 7, W4072-W4075;;373
Weiche;Innenbogenweiche (IBW);4073;S-IS-00050-B0038-W4073;BP2 - Betriebshof Möhringen / Südzufahrt Werkstatt;01.04.1994;23.06.2018;050.040: Wasch- und Wartungshalle Gleis 7, W4072-W4075;050.038: Wasch- und Wartungshalle Gleis 5, W4073-W4076;;374
Weiche;Innenbogenweiche (IBW);4074;S-IS-00050-B0039-W4074;BP2 - Betriebshof Möhringen / Südzufahrt Werkstatt;01.04.1994;23.06.2018;050.040: Wasch- und Wartungshalle Gleis 7, W4072-W4075;050.039: Wasch- und Wartungshalle Gleis 6, W4074-W4077;;375
Weiche;Einfache Weiche (EW);4075;S-IS-00050-B0040-W4075;BP2 - Betriebshof Möhringen / Nordzufahrt Werkstatt;01.03.1988;23.06.2018;050.033: Innere Umfahrung, W4065-W4081;050.040: Wasch- und Wartungshalle Gleis 7, W4072-W4075;;376
Weiche;Einfache Weiche (EW);4076;S-IS-00050-B0038-W4076;BP2 - Betriebshof Möhringen / Nordzufahrt Werkstatt;01.03.1988;23.06.2018;050.039: Wasch- und Wartungshalle Gleis 6, W4074-W4077;050.038: Wasch- und Wartungshalle Gleis 5, W4073-W4076;;377
Weiche;Einfache Weiche (EW);4077;S-IS-00050-B0039-W4077;BP2 - Betriebshof Möhringen / Nordzufahrt Werkstatt;01.03.1988;23.06.2018;050.033: Innere Umfahrung, W4065-W4081;050.039: Wasch- und Wartungshalle Gleis 6, W4074-W4077;;539
Weiche;Einfache Weiche (EW);4078;S-IS-00050-B0032-W4078;BP2 - Betriebshof Möhringen / Nordzufahrt Werkstatt;01.04.1993;23.06.2018;050.037: Wasch- und Wartungshalle Gleis 4, W4110-W4071;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;;379
Weiche;Einfache Weiche (EW);4081;S-IS-00050-B0033-W4081;BP2 - Betriebshof Möhringen / Nordzufahrt Werkstatt;01.03.1988;23.06.2018;050.031: Zufahrt Gleisharfe W4045-W4111;050.033: Innere Umfahrung, W4065-W4081;;543
Weiche;Einfache Weiche (EW);4083;S-IS-00050-B0036-W4083;BP2 - Betriebshof Möhringen / Südzufahrt Werkstatt;01.04.1995;23.06.2018;050.032: Äußere Umfahrung (Wagenhalle Gleis 19), W4044-W4078;050.036: Verbindungsgleis W4070-W4083;;21.453
Weiche;Kombiweiche (KW);4084;S-IS-00050-B0016-W4084;Hauptwerkstatt vor Abstellgleis - Buswerkstatt;20.05.2003;23.06.2018;050.008: Hallenzufahrt West W4015-Prellbock;050.016: Hallenzufahrt Süd, Gleis 8, W4084 -Halle;;20.281
Weiche;Einfache Weiche (EW);4085;S-IS-00050-B0018-W4085;Hauptwerkstatt Hallenzufahrt Gleis 6 - 8;01.05.2003;23.06.2018;050.016: Hallenzufahrt Süd, Gleis 8, W4084 -Halle;050.018: Hallenzufahrt Süd, Gleis 6, W4085 -Halle;;21.463
Weiche;Einfache Weiche (EW);4086;S-IS-00050-B0017-W4086;Hauptwerkstatt Hallenzufahrt Gleis 7/8;11.06.2003;23.06.2018;050.016: Hallenzufahrt Süd, Gleis 8, W4084 -Halle;050.017: Hallenzufahrt Süd, Gleis 7, W4086 -Halle;;21.471
Weiche;Innenbogenweiche (IBW);4087;S-IS-00050-B0019-W4087;Hauptwerkstatt Hallenzufahrt Gleis 5/6;11.06.2003;23.06.2018;050.018: Hallenzufahrt Süd, Gleis 6, W4085 -Halle;050.019: Hallenzufahrt Süd, Gleis 5, W4087 -Halle;;21.481
Weiche;Einfache Weiche (EW);4090;S-IS-00050-B0015-W4090;Hauptwerkstatt Hallenzufahrt Gleis 9/10;01.11.2002;23.06.2018;050.014: Hallenzufahrt Süd, Gleis 10, W4039 -Halle;050.015: Hallenzufahrt Süd, Gleis 9, W4090 -Halle;;20.280
Weiche;Einfache Weiche (EW);4094;S-IS-00050-B0073-W4094;BP2 Gleisharfe;01.10.2017;23.06.2018;050.033: Innere Umfahrung, W4065-W4081;050.073: Abstellgleis 81;;3.371.734
Weiche;Einfache Weiche (EW);4095;S-IS-00050-B0077-W4095;BP2 - Betriebshof Möhringen / Süd;24.11.2017;23.06.2018;050.073: Abstellgleis 81;050.077: Abstellgleis 85;;3.371.883
Weiche;Innenbogenweiche (IBW);4096;S-IS-00050-B0078-W4096;BP2 - Betriebshof Möhringen / Süd;06.12.2017;23.06.2018;050.077: Abstellgleis 85;050.078: Abstellgleis 86;;3.372.665
Weiche;Einfache Weiche (EW);4097;S-IS-00050-B0075-W4097;BP2 - Betriebshof Möhringen / Süd;06.12.2017;23.06.2018;050.073: Abstellgleis 81;050.075: Abstellgleis 83;;3.372.799
Weiche;Innenbogenweiche (IBW);4098;S-IS-00050-B0079-W4098;BP2 - Betriebshof Möhringen / Süd;06.12.2017;23.06.2018;050.078: Abstellgleis 86;050.079: Abstellgleis 87;;3.373.426
Weiche;Innenbogenweiche (IBW);4099;S-IS-00050-B0076-W4099;BP2 - Betriebshof Möhringen / Süd;06.12.2017;23.06.2018;050.075: Abstellgleis 83;050.076: Abstellgleis 84;;3.373.446
Weiche;Einfache Weiche (EW);4100;S-IS-00050-B0074-W4100;BP2 - Betriebshof Möhringen / Süd;06.12.2017;23.06.2018;050.073: Abstellgleis 81;050.074: Abstellgleis 82;;3.372.898
Weiche;Außenbogenweiche (ABW);4101;S-IS-00334-A0002-W4101;Pflugmühle ;12.09.2021;23.06.2018;340: Auswärtsgleis;334: Auswärtsgleis;;3.997.016
Weiche;Außenbogenweiche (ABW);4102;S-IS-00340-B0001-W4102;Pflugmühle ;01.06.1987;23.06.2018;340: Einwärtsgleis;334: Einwärtsgleis;;381
Weiche;Außenbogenweiche (ABW);4103;S-IS-00340-B0001-W4103;Sindelbach / Zufahrt SSB-Z. - Ost;01.06.1987;23.06.2018;340: Auswärtsgleis;050.028: Zufahrtsgleis W4104-W4109;;2.970
Weiche;Außenbogenweiche (ABW);4104;S-IS-00050-B0028-W4104;Zufahrt SSB-Zentrum Sindelbach;01.06.1987;23.06.2018;340: Einwärtsgleis;050.080: Zufahrtsgleis Pflugmühle;;503
Weiche;Einfache Weiche (EW);4105;S-IS-00050-B0026-W4105;Zufahrt SSB-Zentrum - Süd-Ost / Sindelbach;01.05.1987;23.06.2018;340: Auswärtsgleis;050.026: Zufahrtsgeleis W4105-4031;;384
Weiche;Einfache Weiche (EW);4106;S-IS-00340-B0002-W4106;Glw. Rohrer Weg / auswärts;01.05.1987;23.06.2018;340: Auswärtsgleis;340.002: Rohrer Weg, W4107-W4106;;2.979
Weiche;Einfache Weiche (EW);4107;S-IS-00340-B0002-W4107;Glw. Rohrer Weg / einwärts;01.05.1987;23.06.2018;340: Einwärtsgleis;340.002: Rohrer Weg, W4107-W4106;;2.990
Weiche;Innenbogenweiche (IBW);4108;S-IS-00050-B0028-W4108;Sindelbach / Zufahrt SSB-Z. - Ost;12.09.2021;23.06.2018;050.080: Zufahrtsgleis Pflugmühle;050.028: Zufahrtsgleis W4104-W4109;;3.997.163
Weiche;Einfache Weiche (EW);4109;S-IS-00050-B0028-W4109;SSB-Zentrum / Zufahrt Ost;01.03.1988;23.06.2018;050.026: Zufahrtsgeleis W4105-4031;050.028: Zufahrtsgleis W4104-W4109;;387
